"(bmb in Gt/yr, ismr in m/yr, A in 10^3 km^2)",This study,This study (all ice),Rignot 2013 (IS flux),Rignot 2013 err,Rignot 2013 (hr data),Difference to IS flux range,Liu 2015 (non steady),Liu 2015 err (non steady),Liu 2015 (steady state),Liu 2015 err (steady state),Depoorter 2013,Depoorter 2013 err,Adusumilli 2018,Unnamed: 14,Hellmer 2004,Timmermann 2012,Dinniman 2015,Schodlock 2016,Mathiot 2017,Naughten 2018 (MetROMS),Naughten 2018 (FESOM HR),Kusahara 2013,TIOMA4,Unnamed: 24,Unnamed: 25,Adusumilli 2018 (bml),Adusumilli 2018 (bmg),This study (bml),This study (bmg)
Total Antarctica,973.34,1209.1,1500.0,237.0,1046.31,17.16,1516.0,106.0,1290.0,110.0,1454.0,174.0,1392.0,,906.6,1600.0,664.0,1735.0,1864.0,642.0,739.0,944.0,1444.51,,,,,,
Total Antarctica,0.7,0.82,0.85,0.1,0.75,0.0,1.1,0.1,0.9,0.1,0.94,0.11,0.94,,0.8,1.2,,1.16,,0.52,0.56,0.64,0.93,,,,,,
Total Antarctica,1523.33,1617.62,1561.4,,1529.46,,1542.11,,1542.11,,1555.0,,1617.62,,1233.0,1510.0,,1625.0,,1349.0,1438.0,,1690.84,,,,,,
Amery,10.56,10.03,35.5,23.0,40.38,,95.0,8.0,63.0,9.0,39.0,21.0,28.65,,17.65,174.0,,,207.0,91.0,71.4,,9.75,,,47.92,-19.27,17.19,-7.15
Amery,0.19,0.18,0.58,0.4,0.77,,1.7,0.1,1.1,0.2,0.65,0.35,0.52,,0.35,2.9,1.1,1.25,3.73,1.64,1.29,,0.18,,,,,,
Amery,59.13,60.53,60.65,,57.53,,62.23,,62.23,,60.0,,60.53,,55.0,67.0,,,60.65,60.65,60.65,,60.73,,,,,,
Totten + Moscow University,13.26,18.39,90.6,8.0,67.5,,122.0,12.0,90.0,12.0,92.0,19.0,85.52,,,,,,,9.5,9.3,,22.93,,,87.33,-1.81,20.79,-2.4
"Totten +
Moscow University",1.25,1.52,7.66,0.73,7.29,,10.68,1.02,7.86,1.02,7.41,1.62,7.07,,,,,2.06,,0.88,0.86,,1.79,,,,,,
Totten + Moscow University,11.6,13.23,11.83,,10.1,,12.55,,12.55,,12.0,,13.23,,,,,,,11.83,11.83,,14.0,,,,,,
Shackleton,17.12,23.63,72.6,15.0,55.21,4.15,96.0,7.0,60.0,7.0,76.0,23.0,27.76,,47.68,,,,14.0,14.3,17.4,,25.92,,,32.75,-4.99,24.97,-1.34
