,A,ismr,ustar,Tfr,Tdr,<Tfr*ustar>,<Tdr*ustar>,<Tfr><ustar>,<Tdr><ustar>,Tm,To,So,depth,Tdro,omega,u,u_tide,u+u_tide,Tdr*ustar(Tdr),ismr_rel
Abbot,29.022911323399068,2.7081977792809697,0.0026133462481837625,0.2437477586441016,0.3555979735393553,0.0005884863506215436,0.0009823049431162347,0.0006369972905557642,0.000929300630010823,-1.6566070713316472,-0.7664164326168367,34.170611812118096,-235.77483978431812,1.266833093749761,2.1377699972021125,0.017968170269886192,0.022732858852395024,0.04070102912228121,0.07889866715153822,2.7385475906493753
Abbot 1,0.1954565771813995,0.6791972977889251,0.0006779621311145532,0.0727593308054582,0.14466501053126904,0.00010351490065734361,0.0001439616475084336,4.93280709713372e-05,9.807739883748844e-05,-1.8415839516775174,-1.3497793988564781,33.928786844776134,-199.25512613240005,0.6418946022825178,1.0581134276153161,0.002011798699424258,0.0,0.002011798699424258,0.01907329906942538,0.9245141693255018
Abbot 2,0.29123975963754273,0.6926651995379629,0.0008470056522315065,0.11686114337662905,0.13802582116074344,0.0001233846347676941,0.00012487051813205586,9.898204896624128e-05,0.00011690865067704477,-1.8278055391937087,-1.3218820784512104,33.90951426065913,-172.3768953855244,0.6482390517947441,1.0685335874477457,0.005964445382906444,0.005128922762232208,0.011093368145138652,0.01775509356354166,0.8845433522539864
Abbot 3,0.2952637374275552,0.5923650353675262,0.0006991489488250109,0.056877823042058455,0.10901240070654417,7.110789275550338e-05,7.871818203917977e-05,3.976607019131015e-05,7.621590536287122e-05,-1.928878754272413,-1.2829145573996725,33.97674554323253,-271.15041786564484,0.7662054065603372,0.7731151859483499,0.005133006471613436,0.008499587678753235,0.013632594150366672,0.012465148523413514,0.7241408773943614
Abbot 4,0.3670880522896079,1.0783593831524818,0.0015169520043884042,0.07883101864963526,0.16875461051295507,0.00019377929822379856,0.00030374596557984147,0.00011958287174854388,0.00025599264466741166,-1.8765770644607818,-1.2574072082024834,33.983536537097386,-280.37435370232043,0.7991192575795334,1.3494348595962307,0.006769488889753,0.005462076837003621,0.01223156572675662,0.0241815997689943,1.0794087983476135
Abbot 5,0.5309491138400863,1.2814819320029245,0.0016059201225010367,0.12922411160330047,0.19951545505966,0.0002576914656881272,0.0003858794513083522,0.00020752360113605991,0.00032040588403025927,-1.8272078208351832,-1.2407370229880075,33.952599488258116,-257.4104979048326,0.7965505367482828,1.6087892392041465,0.015305834742810668,0.01105004773904571,0.02635588248185638,0.031419176973943024,1.298867656020974
Abbot 6,0.19976228468345952,0.6425301472200334,0.0005944216092945194,0.07233773189626073,0.16169750083805634,8.531553195705011e-05,0.00013124078035660127,4.299911100649079e-05,9.611648866705934e-05,-1.7172488763590499,-1.177812593897566,33.97048899829668,-62.11736195357237,0.7118765914520133,0.9025864242978772,0.001976947299405618,0.001642216444997389,0.003619163744403007,0.022633021423662854,1.0324525828820612
Ainsworth,0.0896246874796224,0.4769455604891626,0.0005860719010988268,0.06604497786502118,0.12348006841820282,7.156894197309611e-05,8.826846362773407e-05,3.87071057353829e-05,7.236819844566933e-05,-1.819649384879828,-1.6621920926062588,34.25004420640892,-118.6746549289088,0.2864718395599495,1.6648950948260763,0.0037214542671100575,0.0,0.0037214542671100575,0.015006095906062004,0.8011878496356895
Alison,0.05235973400230096,8.329458129768499,0.002429891002254902,0.17332111275972434,0.8913924041200646,0.0011185203600957872,0.0021704617308835436,0.00042115141239566144,0.0021659863822497106,-1.1914812641662071,-1.0045163482455979,34.132757307282475,-309.69276248978707,1.0828270105242312,7.69232578132304,0.0023487405869263025,0.0,0.0023487405869263025,0.30909805193073003,9.718686467262541
Amery,59.13265893635184,0.19602146656495573,0.000955161870780041,0.06985641615165357,0.027198172656983766,5.320899047988306e-05,4.3262035575044064e-05,6.67241851374025e-05,2.5978657476843172e-05,-2.2444546849551323,-1.7743197913577828,34.28158031419507,-539.8708171754405,0.49667197842184607,0.3946698728360024,0.013674408763913076,0.04742606612729294,0.06110047489120602,0.0019500515398728335,0.4053005932790381
