,ismr,A,bmb,ismr <200,A <200,bmb <200,ismr <400,A <400,bmb <400
Abbot,2.7081977792809697,29.022911323399068,71.99740213877686,1.8647271107974983,30.126294731328677,20.743432759294137,2.6420582455147072,96.56883891707982,94.21043731466033
Abbot 1,0.6791972977889251,0.1954565771813995,0.12160227841591799,0.7450020130949316,73.47067936708484,80.58896024780819,0.6928914948730407,87.75562868102327,89.52498624223642
Abbot 2,0.6926651995379629,0.29123975963754273,0.18478618794001786,0.9188356632699198,56.15845530793735,74.4954294881602,0.6926651995379629,100.0,100.0
Abbot 3,0.5923650353675262,0.2952637374275552,0.1602119854658438,1.5665428830888553,17.55828889487112,46.43388935069872,0.5923650353675262,100.0,100.0
Abbot 4,1.0783593831524818,0.3670880522896079,0.3626012065967754,2.3320368680687436,18.467159840261846,39.93668369640318,1.0783593831524818,100.0,100.0
Abbot 5,1.2814819320029245,0.5309491138400863,0.6232479537183159,1.708338962625436,20.296798064497075,27.057588627821342,1.2814819320029245,100.0,100.0
Abbot 6,0.6425301472200334,0.19976228468345952,0.11757161381099296,0.6425301472200334,100.0,100.0,0.6425301472200334,100.0,100.0
Ainsworth,0.4769455604891626,0.0896246874796224,0.03915542467212923,0.4769455604891626,100.0,100.0,0.4769455604891626,100.0,100.0
Alison,8.329458129768499,0.05235973400230096,0.39949344224511146,0.0,0.0,0.0,8.329458129768499,100.0,100.0
Amery,0.19602146656495573,59.13265893635184,10.617603802355507,0.25671797074482344,1.7361920001152227,2.273790186878753,0.2687538640887689,36.68036025219985,50.290352004280024
Andreyev,0.8360932501923759,0.0785027883176757,0.06012225671325962,0.510023341213286,29.992568709965266,18.2956985976216,0.7210335731566552,59.991369997650125,51.73560707255553
Arneb,0.07488440556286946,0.00400334678706318,0.00027460603188070456,0.07488440556286946,100.0,100.0,0.07488440556286946,100.0,100.0
Astrolabe,1.0664143167888396,0.07728310617844827,0.0754928827611421,1.0664143167888396,100.0,100.0,1.0664143167888396,100.0,100.0
Atka,0.695608066499243,1.946635324307072,1.240351234454258,1.0557051148844636,26.467294514819624,40.16868052877734,0.6809244159354095,95.71809892145137,93.69757733050665
Aviator,0.33578257204956935,0.7662140908580338,0.23566970576274263,0.21301434435513394,35.270483332392125,22.374951851369687,0.32849903719943,87.90248753834165,85.99577502645779
Bach,3.144879718386172,4.4860029047676,12.922872629471746,3.5783737707197973,25.71172637770679,29.255862070656384,3.144879718386172,100.0,100.0
