,Names,A,bmb,ismr,A_nf,bmb_nf,ismr_nf,bml,bmg,ismr_l,ismr_g,bml_nf,bmg_nf,ismr_nf_l,ismr_nf_g,lon_min,lat_min,lon_max,lat_max
0,Larsen G,0.4406673196320431,-1.0963787377733647,-2.7161533566924456,0.3759702797239284,-1.2753800789764786,-3.7033148784598824,0.2631029185706422,-1.3594816563440069,3.0889288330707703,-4.268721133988623,0.062317813356575325,-1.3376978923330538,2.104052853367959,-4.249752342901046,-62.55,-74.7,-61.35,-74.36
1,Larsen F,0.9601254620926517,1.9444621281630172,2.2109352713754165,0.7301286441502628,1.2700173180453762,1.8989554777333204,2.552579009237103,-0.6081168810740852,3.289137328283286,-5.880550861358642,1.878134199119461,-0.6081168810740852,3.321860186166373,-5.880550861358642,-61.96,-74.44,-60.55,-73.85
2,Larsen E,1.334645573448701,2.684428108877309,2.1957877285459264,1.1174731808046034,1.7881509045754822,1.746914236530441,3.103483564179326,-0.4190554553020175,3.778554735790882,-1.0445209741592405,2.2072063598775005,-0.4190554553020175,3.546217063093372,-1.0445209741592405,-62.61,-73.72,-60.05,-73.11
3,Larsen D,14.426196402263507,28.225748664206485,2.1359847902431452,12.952375385560586,25.94255497533902,2.1865924761983844,33.383945164780776,-5.158196500574306,3.01240227084305,-2.419157057968913,31.016692874359254,-5.074137899020235,3.1539549375283378,-2.4993858297275895,-62.7,-73.0,-59.3,-69.4
4,Larsen C,55.656520476830345,30.994779901375836,0.6079628347641117,54.0669163710929,30.353339299863126,0.6128855781113266,39.458477919172694,-8.463698017796808,1.241508324490093,-0.440847918694446,38.21629901820754,-7.862959718344333,1.2412226981546002,-0.4196698836004516,-65.5,-69.3,-60.0,-66.1
5,Larsen B,4.450565200479057,4.770797306712938,1.1702545111351497,3.1851642133337084,4.013173319549673,1.3755000643150173,6.149202491862797,-1.3784051851498509,2.153270315201779,-1.128945157393145,4.931778903373766,-0.9186055838240929,2.3850927656396617,-1.0808917267164926,-62.75,-66.1,-59.0,-65.0
6,Wordie,0.961658706512344,3.2328168944047646,3.6699881794804035,0.5339000655939403,1.9352684387024537,3.957179641566172,3.2328168944047646,0.0,3.6699881794804035,0.0,1.9352684387024537,0.0,3.957179641566172,0.0,-68.24,-69.49,-66.86,-68.75
7,Wilkins,15.11585784995973,49.300404978480344,3.5605920186050364,12.995173625587368,39.058829947703245,3.2812677441840403,49.300404978480344,0.0,3.5605920186050364,0.0,39.058829947703245,0.0,3.2812677441840403,0.0,-75.0,-71.5,-69.5,-69.7
8,Bach,5.3271556035745276,18.468881824270486,3.784859358927738,4.5692022658906595,11.929997337155498,2.8503913379887784,18.738249959385318,-0.26936813511483165,3.916426460264178,-2.8310712873377035,12.053499424587471,-0.12350208743197316,2.928567710023972,-1.775603868521724,-75.37,-72.38,-70.3,-71.5
9,George VI 1,12.912625828400756,42.367427556790474,3.581970916359846,12.146633635188262,39.82510270880597,3.579360971040886,42.37064382456923,-0.003216267778750247,3.5866915001456543,-0.21923337026581863,39.828318976584725,-0.003216267778750247,3.584376191908793,-0.21923337026581863,-74.5,-73.8,-67.0,-72.6
10,George VI 2,10.586878359820389,28.35690142617094,2.924121248518886,10.464545504725942,27.92124911462352,2.912855889772276,28.36999332085619,-0.013091894685252277,2.937659114979748,-0.32539689860198595,27.93434100930877,-0.013091894685252277,2.926505200215535,-0.32539689860198595,-69.5,-72.6,-66.0,-70.0
11,Stange,8.708519932497017,25.319262285698493,3.174031436648079,7.368749473167659,19.38822038662793,2.8724248990222936,25.990957775863716,-0.6716954901652233,3.3845268095475602,-2.256611549862101,19.741693162279006,-0.353472775651078,3.032120865385312,-1.4794512653271652,-79.0,-73.8,-74.5,-72.6
12,Ronne,349.2956339215353,35.70291180798898,0.11158736088031293,347.5772928331532,33.25250405580136,0.10444255442300661,134.0389964278883,-98.3360846198997,0.8656271956530259,-0.5955839092371515,131.3924146083905,-98.13991055258954,0.8570628471331418,-0.5945158787188902,-85.0,-84.5,-49.5,-74.7
