,A,m_t,bmb_t,m_diff,bmb_diff,m_diff_rel,bmb_diff_rel
Abbot,29.74, 2.57,70.09, 0.14, 3.95, 5.97, 5.97
Abbot 1, 0.24, 1.11, 0.24,-0.05,-0.01,-4.50,-4.50
Abbot 2, 0.34, 0.92, 0.28,-0.02,-0.01,-2.23,-2.23
Abbot 3, 0.35, 0.39, 0.13,-0.01,-0.00,-2.31,-2.31
Abbot 4, 0.43, 1.34, 0.53,-0.02,-0.01,-1.53,-1.53
Abbot 5, 0.54, 1.23, 0.61, 0.03, 0.02, 2.77, 2.77
Abbot 6, 0.26, 0.65, 0.15,-0.01,-0.00,-1.91,-1.91
Ainsworth, 0.12, 0.40, 0.05,-0.00,-0.00,-0.20,-0.20
Alison, 0.08, 6.66, 0.49,-0.37,-0.03,-5.25,-5.25
Amery,59.85, 0.18, 9.68, 0.03, 1.59,19.73,19.73
Astrolabe, 0.11, 0.72, 0.07,-0.07,-0.01,-8.80,-8.80
Atka, 2.14, 1.34, 2.62, 0.12, 0.23, 9.50, 9.50
Aviator, 0.92, 0.26, 0.22, 0.03, 0.02,11.48,11.48
Bach, 4.61, 3.49,14.74, 1.11, 4.70,46.80,46.80
Baudouin,33.40, 0.74,22.62, 0.18, 5.55,32.53,32.53
Borchgrevink,21.11, 1.51,29.15, 0.12, 2.27, 8.46, 8.46
Brahms, 0.25, 2.00, 0.47,-0.04,-0.01,-2.15,-2.15
Brunt Stancomb,36.66, 1.03,34.63, 0.05, 1.65, 4.99, 4.99
Campbell, 0.11, 0.73, 0.08, 0.00, 0.00, 0.09, 0.09
Cheetham, 0.11, 0.11, 0.01, 0.00, 0.00, 0.76, 0.76
Chugunov, 0.05, 0.66, 0.03, 0.12, 0.01,22.72,22.72
Conger Glenzer, 1.63, 3.08, 4.58, 0.72, 1.08,30.78,30.78
Cook, 3.63, 3.72,12.38,-0.18,-0.61,-4.71,-4.71
Cosgrove, 2.94, 3.40, 9.16, 0.13, 0.35, 4.00, 4.00
Crosson, 3.11, 0.69, 1.98,-0.05,-0.14,-6.59,-6.59
Deakin, 0.09, 2.60, 0.22,-0.28,-0.02,-9.64,-9.64
Dennistoun, 0.13, 1.40, 0.16, 0.82, 0.10,143.73,143.73
Dibble, 1.56, 2.81, 4.01, 0.12, 0.18, 4.59, 4.59
Dotson, 5.16, 0.70, 3.33,-0.04,-0.18,-5.21,-5.21
Drury, 0.09, 1.56, 0.13, 0.35, 0.03,29.10,29.10
Drygalski, 2.45, 0.73, 1.63, 0.06, 0.13, 8.72, 8.72
Edward VIII, 0.43, 0.56, 0.22,-0.03,-0.01,-4.32,-4.32
Ekstrom, 6.90, 1.06, 6.69, 0.23, 1.45,27.69,27.69
Erebus, 0.05, 0.25, 0.01, 0.03, 0.00,14.75,14.75
Ferrigno, 0.18, 6.43, 1.04,-0.49,-0.08,-7.02,-7.02
Filchner,102.07, 0.06, 5.51,-0.09,-8.31,-60.14,-60.14
Fimbul,40.69, 1.73,64.31,-0.19,-6.96,-9.77,-9.77
Fisher, 0.19, 0.83, 0.14, 0.03, 0.00, 3.13, 3.13
Fitzgerald, 0.37, 0.29, 0.10, 0.05, 0.02,22.97,22.97
Flatnes, 0.09, 0.53, 0.05, 0.03, 0.00, 6.22, 6.22
Fox Glacier, 0.08, 3.33, 0.23,-0.06,-0.00,-1.85,-1.85
Francais, 0.09, 1.56, 0.13,-0.15,-0.01,-8.80,-8.80
Frost, 0.26, 2.33, 0.56,-0.95,-0.23,-28.88,-28.88
Garfield, 0.06, 0.46, 0.03, 0.02, 0.00, 4.00, 4.00
GeikieInlet, 0.33, 0.09, 0.03,-0.01,-0.00,-7.72,-7.72
George VI,23.15, 7.76,164.50,-0.20,-4.28,-2.53,-2.53
Getz,33.50, 1.95,59.97, 0.17, 5.33, 9.76, 9.76
Getz 1, 0.60, 1.09, 0.59,-0.17,-0.09,-13.22,-13.22
Gillet, 0.17, 0.90, 0.14, 0.33, 0.05,56.87,56.87
Hamilton, 0.21, 2.88, 0.56,-0.46,-0.09,-13.65,-13.65
Hannan, 0.40, 0.30, 0.11,-0.01,-0.00,-2.17,-2.17
HarbordGlacier, 0.10, 0.14, 0.01, 0.01, 0.00,10.54,10.54
Helen, 0.35, 1.98, 0.64,-0.05,-0.02,-2.60,-2.60
Holmes, 2.38, 1.56, 3.40,-0.73,-1.59,-31.87,-31.87
Holt, 0.08, 1.11, 0.08, 0.28, 0.02,33.78,33.78
HornBluff, 0.17, 1.67, 0.26, 0.07, 0.01, 4.17, 4.17
Hoseason, 0.14, 1.15, 0.15, 0.03, 0.00, 2.32, 2.32
Hull, 0.19, 0.97, 0.17, 0.02, 0.00, 2.21, 2.21
Ironside, 0.10, 0.20, 0.02, 0.04, 0.00,21.93,21.93
Jackson, 0.08, 0.95, 0.07, 0.12, 0.01,14.47,14.47
Jelbart,10.83, 1.10,10.96,-0.09,-0.90,-7.58,-7.58
Land, 0.68, 3.07, 1.92, 1.62, 1.02,112.06,112.06
LarsenA, 0.79, 0.60, 0.44, 0.38, 0.27,164.36,164.36
LarsenB, 2.13, 0.43, 0.83, 0.03, 0.05, 6.82, 6.82
LarsenC,46.50, 0.24,10.17, 0.01, 0.50, 5.20, 5.20
LarsenD,21.84, 0.30, 5.96, 0.09, 1.83,44.41,44.41
LarsenD 1, 0.06, 0.23, 0.01,-0.13,-0.01,-35.59,-35.59
LarsenE, 1.25, 0.68, 0.78, 0.29, 0.33,74.79,74.79
LarsenF, 0.87, 0.34, 0.27, 0.12, 0.09,51.86,51.86
LarsenG, 0.47, 0.17, 0.07,-0.05,-0.02,-21.45,-21.45
Lauritzen, 0.60, 2.02, 1.10, 0.40, 0.22,24.98,24.98
Lazarev, 8.73, 0.73, 5.80,-0.01,-0.10,-1.74,-1.74
Lillie, 0.86, 2.58, 2.02, 0.26, 0.21,11.37,11.37
Mariner, 2.73, 0.69, 1.73, 0.36, 0.90,108.98,108.98
Marret, 0.05, 2.70, 0.11,-0.37,-0.02,-12.21,-12.21
Matusevitch, 0.30, 4.61, 1.26, 1.03, 0.28,28.72,28.72
